username,timestamp,split,dlg_idx,turn_idx,prop_idx,content,content_gold,shared,shared_gold,turn_shared,rule,type,qa_fact,question,answer,prop
PU6HR2,10:49:43,test,4396,2,6,1,1,1,1,0,caption,direct entailment,none,none,A refrigerator is full of many types of drinks.,There are drinks.
PU6HR2,10:50:04,test,4933,0,4,1,1,0,0,2,there,direct entailment,positive,Are there any other people?,Yes.,There are other people.
PU6HR2,10:50:22,test,2899,1,1,0,0,1,1,0,caption,direct contradiction,none,none,Large living space with shiny hardwood floors next to a kitchen.,One cannot see a large space.
PU6HR2,10:50:47,test,7302,6,19,0,0,1,1,6,there,direct contradiction,negative,Are there people in the photo?,No.,There are people in the photo.
PU6HR2,10:51:06,test,3094,0,11,0,0,0,0,1,there,direct contradiction,negative,Is there any humans visible?,No.,There is humans visible.
PU6HR2,10:51:29,test,4448,1,6,0,1,0,0,2,what_color,direct entailment,none,What color are the towels?,White.,The towels are white.
PU6HR2,10:51:41,test,802,0,7,0,0,1,1,0,caption,direct contradiction,none,none,A man with an elvis haircut cutting another man's hair with pink scissors.,There are no scissors.
PU6HR2,10:52:18,test,3158,2,13,1,0,0,0,4,noun_,direct contradiction,positive,What does it look like she is eating?,Doughnuts.,There are no doughnuts.
PU6HR2,10:52:31,test,3052,1,9,0,0,0,0,3,there,direct contradiction,negative,Are there any other animals?,No.,There are other animals.
PU6HR2,10:52:51,test,798,0,17,0,0,1,0,1,how_many,direct contradiction,none,How many people are there?,5 that i can see.,There are no people.
PU6HR2,10:53:35,test,7520,0,6,1,1,1,1,0,caption,direct entailment,none,none,"There are goats standing on a field of green grass under a cloudless, blue sky.",There are grass.
PU6HR2,10:53:56,test,5176,0,4,1,1,0,0,1,what_color,direct entailment,none,What color is the wetsuit?,Dark blue.,The wetsuit is dark blue.
PU6HR2,10:54:35,test,3454,4,8,1,1,1,1,4,there,direct entailment,negative,Are there many trees?,0.,There are no many trees.
PU6HR2,10:54:55,test,6921,0,4,1,1,0,0,1,there,direct entailment,positive,Are there any people in the background?,Yes.,There are people in the background.
PU6HR2,10:55:29,test,4695,1,12,1,1,0,0,3,is_noun_adj,direct entailment,positive,Is the room clean?,"Yes, very clean.",The room is clean.
PU6HR2,10:55:57,test,7644,8,18,1,1,1,1,7,any_,direct entailment,negative,Any clouds?,No.,There are no clouds.
PU6HR2,10:56:18,test,3969,0,5,0,0,0,0,2,look_adj,direct contradiction,positive,Do they look happy?,Yes.,The 2 women do not look happy.
PU6HR2,10:57:23,test,2397,1,2,1,1,1,1,0,caption,direct entailment,none,none,People are on a vacation at a resort.,There is a vacation.
